,Tweeted Date,Tweet Description,Popularity Count
68,2021-05-20,"@m_i_k_i_0926 ･りぃ
･ヴァンゆんとTWICEとNiziU
･0513
･東京
･もちろん🙆🏻👌✨
･みきたん好き！！",1
127,2021-05-20,"@niziu_moon 素敵なソンムル企画ありがとうございます🙇‍♀️
参加させていただきます！",1
105,2021-05-20,"@NIZI_mihi すーぐ買った。
もうにじゅちゃんのことになると財布の紐が緩む緩む🤷‍♀️",1
124,2021-05-20,"@JJ001yahoo It's a slang/poem commonly used ""roses are red, violets are blue. Sugar is sweet and so are you"". Peopl… https://t.co/0CekJSJBoA",1
74,2021-05-20,@Riin_1365244 TXT！,1
27,2021-05-20,"@yanagi_NiziU @wainuma0213 でしたよね😭😭
アントニーは色んな曲でも自分の味をだせそうで楽しみでしかないです！！",1
76,2021-05-20,@NiziU_lovefan ほしい？笑,1
121,2021-05-20,"@niziu_moon すみません！
今フォローさせていただきました！
わざわざ教えて頂きありがとうございます🙇‍♂️",1
120,2021-05-20,アイコンフレームかわいいすぎる🥺🤍 https://t.co/rlUOJ4FBWW,1
29,2021-05-20,@szk429szk ただいま🏠 https://t.co/rJiXJ0a4K5,1
24,2021-05-20,@B0T_Twice_NiziU 諦めたらそこで試合終了ですよ...(恋愛経験なし),1
88,2021-05-20,@shimoNiziU しもちゃん呼んだ？きたよー,1
89,2021-05-20,@NiziU_AnYuna 早くモデルしてもろて,1
22,2021-05-20,@Niziu_ik ありがとう😭日々マユカペンの長女に納得いただける絵をと献上してるんやけどw wぜーんぶダメダメ！🤣🤣🤣マヤちゃんはなんとかお墨付きもらえたw,1
93,2021-05-20,"Niziuの日だよー
Niziu時だよー https://t.co/8ujoEw16Qq",1
15,2021-05-20,@risuriku_NiziU 早くて土曜日やね！,1
98,2021-05-20,@Niziu_resuleon こちらこそいいね、ありがとうございます😊,1
99,2021-05-20,"昨日貰った九重(ここのえ)というお菓子を食べなきゃいけない私達
DH「あー…くじゅう食べなきゃ」
私「ここのえです。NiziUみたいに言うのやめてもらっていいですか(笑)」",1
102,2021-05-20,"@kiyoayaka_niziu 初めて会った時から違うモノ感じてた〜🎵
え、、、これってまさに姫の歌
じゃないですか🙄🙄🙄🌷🤍",1
131,2021-05-20,@Mayuka_NiziU_3 ゆっくり休んでね😄,1
125,2021-05-20,"あれぇ？🙄
#NiziU #WithU #Poppin_Shakin #Take_a_picture #二ジュー #니쥬",1
55,2021-05-20,@12345ab10793010 ペット以下かよw,1
144,2021-05-20,"@Tm63xXfYTVEAwEs 
フォローありがとうございます♡",1
61,2021-05-20,"@sssatomin_nzu びっくりだよ！w
速攻買いました。あいらぶにじゅー。さらんへ",1
46,2021-05-20,あれ、やばいの来てるじゃん！,1
146,2021-05-20,NiziUじ,1
136,2021-05-20,"@22nizi 
フォローありがとうございます♡",1
34,2021-05-20,"ニジューの日あざっす‼️‼️‼️

#NiziU #WithU #ニジュー #ニジューの日
#Take_a_picture #Poppin_Shakin 

NiziU『Take a picture 』MV Making Movi… https://t.co/m5C9aazkqk",1
31,2021-05-20,@nyangowasu なんだよ笑,1
4,2021-05-21,"@MayuKamenRider え、すき（）
私も字幕ついてほしいと東映に言ってくるわεε＝(((((ﾉ･ω･)ﾉ
てかずっと思ったんだけど、
ぼうえいたいがピアスしてる時点にイケメン説ダネ https://t.co/1t3z6gBfsY",1
138,2021-05-20,"@kazuch333 え！マユカも上手く描けてたんだけど😖
厳しい😖",1
111,2021-05-20,"RT @LINEStickerJP: NiziU🌈スタンプ
全40種はここからチェック👀
▶️https://t.co/c9IDe9H8uC

#NiziU #ニジュー #니쥬 #WithU https://t.co/flLuUxQJ4n",0
12,2021-05-21,"ファンタを飲んでキャンペーンに参加すると、ファンタとNiziUとのコラボアイテムがその場で当たるよ！あなたもキャンペーンに参加しよう！
詳しくはこちら：https://t.co/WxIMiX8xWk",0
113,2021-05-20,"RT @LINEStickerJP: ／
NiziU🌈
公式LINEスタンプがついに初登場😘
＼

明るく元気な魅力がたっぷりつまった
9人のスタンプ、
たくさん愛してください💞

【限定コメントをチェック👀】
NiziUからみんなへのメッセージ💌
スタンプの撮影風景も特別公開…",0
13,2021-05-21,【NiziU】好きなメンバーランキングが決定！　ファンの温かい愛が伝わる結果に【1万6000票集まる】 https://t.co/3MJyUFCoeg,0
132,2021-05-20,あれ？？,0
14,2021-05-21,【NiziU】好きなメンバーランキングが決定！　ファンの温かい愛が伝わる結果に【1万6000票集まる】 https://t.co/AeBexb6bHX,0
11,2021-05-21,アイコンを[HappySUUMODay]でデコりました。 #HappySUUMODay #iconDecotter https://t.co/djoR2GJRnA,0
147,2021-05-20,NiziU(니쥬) 2nd Single 『Take a picture』 MV https://t.co/G99yE33Xm1 @YouTubeより,0
16,2021-05-20,"RT @WithU_mayutan: 供給きたぁぁぁぁぁ！！！
NiziU『Take a picture 』MV Making Movie https://t.co/ML2Tl3geGF @YouTubeより",0
107,2021-05-20,"RT @oricon: NiziU、公式LINEスタンプ全40種登場　ミイヒ「たくさん使ってほしいな」（写真 全2枚）
https://t.co/xcczVdodM8

 #NiziU #ニジュー #LINEスタンプ @NiziU__official",0
3,2021-05-21,アイコンを[HappySUUMODay]でデコりました。 #HappySUUMODay #iconDecotter https://t.co/cfWiXIjgj8,0
143,2021-05-20,アイコンを[NiziUアヤカ誕生日フレーム]でデコりました。 #HappyAyakaDay #iconDecotter https://t.co/9fDZ3RpHIe,0
118,2021-05-20,"RT @switchMIIHI: YouTubeチャンネル登録者1000人突破&amp;NiziUスタンプ発売記念

LINEプリペイドカード1000円分×10名様にプレゼント🎁

【参加方法】
このアカウントのフォロー
このツイートをRT
リプライにて参加します！とコメント

以上3…",0
