,Tweeted Date,Tweet Description,Popularity Count
109,2021-05-12 11:49:39,"[#휘]{Hwi} La giacca di pelle è confortante (*≧∀≦*)
E lo siete anche voi😘 

#ciipher  #ciipheritalia #싸이퍼 #현빈 #문현빈… https://t.co/Nln6wLmOuN",2
67,2021-05-13 10:41:27,"【美韓】チョン・ジフン（ピ）に投票完了！現在の得票数:410票
チョン・ジフン（ピ）「いつも僕のそばにいてほしい。」
人気投票はこちらから↓
 https://t.co/VN8ybYjXer #チョン・ジフン（ピ）… https://t.co/cjGEtPYT3w",2
116,2021-05-12 08:30:20,"【美韓】チョン・ジフン（ピ）に投票完了！現在の得票数:290票
チョン・ジフン（ピ）「いつも僕のそばにいてほしい。」
人気投票はこちらから↓
 https://t.co/btzJrvqtW3 #チョン・ジフン（ピ）… https://t.co/szNl6Rs0Rt",2
99,2021-05-12 14:30:21,"【美韓】チョン・ジフン（ピ）に投票完了！現在の得票数:326票
チョン・ジフン（ピ）「サラゲ～♪」
人気投票はこちらから↓
 https://t.co/VN8ybYjXer #チョン・ジフン（ピ） #JungJiHoon #정지훈 #チョン・ジフン（ピ）からのメッセージ",2
16,2021-05-14 10:40:08,"【美韓】チョン・ジフン（ピ）に投票完了！現在の得票数:521票
チョン・ジフン（ピ）「君のことを考えると、温かい気持ちになるよ❤️」me too❣️
人気投票はこちらから↓
 https://t.co/rjruk1QaSe… https://t.co/TTKy0TuC8N",2
25,2021-05-14 08:56:37,엊그제고잉짱재밌었죠제일재밌는거같아 I just vote for @pledis_17 for #BBMAsTopSocial 권호시분량요정지훈이는그냥요정,2
133,2021-05-11 12:41:10,"【美韓】チョン・ジフン（ピ）に投票完了！現在の得票数:204票
チョン・ジフン（ピ）「大好きだよ❤️」
人気投票はこちらから↓
 https://t.co/btzJrvqtW3 #チョン・ジフン（ピ） #JungJiHoon #정지훈 #チョン・ジフン（ピ）からのメッセージ",2
81,2021-05-13 02:54:01,"꼴데 주말 크트전 선발 로테이션은 
준원이 자리에 진욱이가드간다고 보면
진욱이-노갱-종덕이
스트렐리 주2회 등판대신 종덕이를
쓰는것 같은데
토일 이틀간 정지훈 등판이 예상되므로
선발등판 기회는 미루어질듯",1
146,2021-05-10 21:51:48,"【美韓】チョン・ジフン（ピ）に投票完了！現在の得票数:131票
チョン・ジフン（ピ）「僕が一生守るから。」
人気投票はこちらから↓
 https://t.co/VN8ybYjXer #チョン・ジフン（ピ） #JungJiHoon #정지훈 #チョン・ジフン（ピ）からのメッセージ",1
58,2021-05-13 12:42:44,"@rain_oppa and his guests of tonight’s episode of Season B Season👍👍👍

#정지훈 #비 #가수비 #시즌비시즌 #rain #jungjihoon #… https://t.co/TPgKqvlpup",1
