,Tweeted Date,Tweet Description,Popularity Count
0,2021-05-13,"RT @kkayayayaa: 제발 나로 바꾸자

#twice #twicefanart #twicedahyun #dahyun #kimdahyun #dahyunfanart #dubu #다현 #김다현 #틍와이스 #kpop #kpopfanart https:/…",0
84,2021-05-09,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project

https://t.co/xoPR9nz4YB

#TWICE #트와이스 #DAHYUN #CHAEYOUNG #나로…",0
83,2021-05-09,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project Teaser

https://t.co/27SS8eGnqQ

#TWICE #트와이스 #DAHYUN #CHAEYO…",0
82,2021-05-09,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project Teaser

https://t.co/pweByAZHBS

#TWICE #트와이스 #DAHYUN #CHAEYO…",0
94,2021-05-08,RT @miyaohyeah: 아 나로 바꾸자 정말 너무 좋다.,0
79,2021-05-09,@BooSiRi_nadam 나로 바꾸자,0
78,2021-05-09,"RT @JYPETWICE: DAHYUN &amp; CHAEYOUNG “나로 바꾸자 Switch to me” Melody Project Behind

https://t.co/i3T2RfpULy
 
#TWICE #트와이스 #DAHYUN #CHAEYOUNG",0
77,2021-05-09,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project

https://t.co/xoPR9nz4YB

#TWICE #트와이스 #DAHYUN #CHAEYOUNG #나로…",0
76,2021-05-09,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project Teaser

https://t.co/pweByAZHBS

#TWICE #트와이스 #DAHYUN #CHAEYO…",0
75,2021-05-10,@taengggggcon 아악 나로 바꾸자..,0
74,2021-05-10,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project Teaser

https://t.co/pweByAZHBS

#TWICE #트와이스 #DAHYUN #CHAEYO…",0
73,2021-05-10,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project

https://t.co/xoPR9nz4YB

#TWICE #트와이스 #DAHYUN #CHAEYOUNG #나로…",0
93,2021-05-08,“나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project https://t.co/PemYCi2WO5 via @YouTubeMusic,0
99,2021-05-07,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project

https://t.co/xoPR9nz4YB

#TWICE #트와이스 #DAHYUN #CHAEYOUNG #나로…",0
95,2021-05-08,나로바꾸자 -&gt;바뀨 -&gt;박규,0
110,2021-05-07,"RT @boong_sm: #엔시티_23명_절대지켜
수만깅! 자꾸 그러면 
#에스엠_무한확장_절대반대
나로 바꾸자~ 나로 바꾸자아~ https://t.co/R4JUmxLPY5",0
124,2021-05-06,@qxMSwcFjAEA8AEa 나로 바꾸자 나나나나나나ㅏ,0
123,2021-05-06,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project Teaser

https://t.co/pweByAZHBS

#TWICE #트와이스 #DAHYUN #CHAEYO…",0
122,2021-05-06,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project

https://t.co/xoPR9nz4YB

#TWICE #트와이스 #DAHYUN #CHAEYOUNG #나로…",0
121,2021-05-06,"RT @JYPETWICE: DAHYUN &amp; CHAEYOUNG “나로 바꾸자 Switch to me” Melody Project Behind

https://t.co/i3T2RfpULy
 
#TWICE #트와이스 #DAHYUN #CHAEYOUNG",0
