,Tweeted Date,Tweet Description,Popularity Count
90,2021-05-19,RT @saleenong: รู้สึกคันคอแต่กล้องยังจับอยู่ https://t.co/CUEjSVzNEP,0
89,2021-05-19,RT @n_r_a_e_: ความคิดเห็นไหนส้นตีนไม่เซ็นนะคะ เสียเวลา https://t.co/Rd8LwXwhG6,0
88,2021-05-19,リマがリマで　ありのリマだった🤣「リマさんらしくいて　それだけで充分」と言って下さったJYP社長様是非NiziU scoutの感想が聞きたいです‼️よろしくお願い申し上げます🙇🏻‍♀️🙇🏻‍♀️#NiziU_Scout #NiziU #WithU,0
87,2021-05-19,RT @idiot_onworks: https://t.co/GOR3JqCYwD,0
86,2021-05-19,"RT @sc__ys: 스테이씨는 JYP 노래스타일이랑 잘 어울림 
ㄴ당연함 JYP 여돌 노래 좋은거 다 블아필이 만듬 https://t.co/9xKN6DruP0",0
85,2021-05-19,RT @sandsseine: เหี้ยมาก 55555555555555555555555555555555555555555555555 https://t.co/7poGg281jN,0
146,2021-05-19,RT @Kkapok_s: ร้องเพราะนะแต่จะร้องเทคนิคJYP เพื่ออะไรพี่ไม่เข้าใจเลิกแกล้งได้แล้ว https://t.co/ZTymvT1wGX,0
147,2021-05-19,パッチムがわかるようになって、パク・ジニョンが何故JNPじゃなくてJYPなのかわかったとき、めっちゃ感動した思い出……「だからか〜！」ってなった😌,0
148,2021-05-19,"RT @WAWAI997: แน่นอนว่าต้องเป็นจินจีโด มม.น่ารักๆ
จาก 3mc  jyp yg sm แง้งงงงคิดถึง https://t.co/9uViZk9Rae",0
83,2021-05-19,"Kinakabahan naman ako, evita kasi sabi ulit daw haha",0
95,2021-05-19,RT @FordAntiTrust: มีใครไปบอกกองทัพมั่งหรือยัง ว่าอาวุธที่ดีที่สุดคืออาวุธที่มีอยู่,0
142,2021-05-19,RT @soompi: #JYP Takes Legal Action Against Invasion Of #StrayKids' Privacy https://t.co/2kgl4YmvHC https://t.co/B9pWYdIGyI,0
109,2021-05-19,"RT @JYPE_JAPAN: “JYP JAPAN ONLINE STORE”
“JYP JAPAN POPUP STORE 2021”
“JYP JAPAN POPUP CAFE 2021”

Coming Soon

https://t.co/hlgR8OaeVL

#J…",0
110,2021-05-19,"Anjir gue sayang banget sama day6 kalo gue bisa ke korea.. Gue pilok gede"" di gedung jyp ""I LOVE DAY6""",0
139,2021-05-19,RT @YI_N9: @talesofterrorr ตอนแรกก็นึกว่าหวังดี อ่อ ปสด เหมือนที่คุณไรท์ว่า หาที่ลงไม่ได้ ไม่รู้โกรธมาจากไหนแต่เห็นคนเชียร์เรื่องนี้แล้วยอม…,0
138,2021-05-19,"RT @followjyp: [티저] JYP &amp; PSY (a.k.a JYPSY)가 반한 소년들의 등장! ＜JYPSY의 BOY＞ 대공개

출처 : LOUD
https://t.co/uYGMx5Zej6

#JYPark #박진영 
#LOUD #라우드",0
137,2021-05-19,"RT @Cam89252451: @ahribeing1 @soompi @idlelovee @G_I_DLE That's not really true, we all know that jyp is bad at promotions, just look at go…",0
136,2021-05-19,RT @moshanksx: งงแดก แฟนฟิคพอจะรวมเล่มโดนกดกันฉิบหายบอกหากินกับสินปิน แต่พอเป้นแฟนอ้าต ตุ๊กตาเสือกแห่ไปซื้อตามได้,0
135,2021-05-19,RT @talesofterrorr: มึงสบายใจยัง พอใจมึงยัง,0
134,2021-05-19,RT @beurrexx: ดู korea vlog แล้วอิจฉาบ้านเค้าจังอะ ดูมีอะไรให้ทำในวันหยุดวันนึงเยอะมาก เช้าไปกินข้าว สายไปคาเฟ่ ตกบ่ายไปพิพิธภัณฑ์ เย็นไป…,0
133,2021-05-19,RT @kudomi0: พวกแฟนฟิค กู๊ดศลป ตุ๊กตาศลป กูว่าค่ายมันรู้หมดแหละแต่แม่งเป็นวงการที่ได้ประโยชน์ทั้งสองฝ่าย ค่ายไม่ต้องเสียกำลังโปรโมทเยอะเพรา…,0
131,2021-05-19,i miss him very muchh to the point na gusto ko ng sunugin jyp building,0
130,2021-05-19,"RT @bblpntn: [ซับไทย]​ ตัวอย่างรายการ LOUD (라우드)

ออดิชั่นมือโปร JYP &amp;​ มือใหม่ PSY
การโปรดิวซ์บอยกรุ๊ปวงใหม่ 2 วงเพื่อเดบิวต์เป็นตัวแทนของ…",0
129,2021-05-19,"RT @synii6: 2015年のK-POPを一部振り返ってみたら、
JYP, YG, SM が特に最強だった。 https://t.co/0UOct3uBL1",0
128,2021-05-19,RT @thestarC6: เออจริง 5555555555 #พิมรี่พาย https://t.co/ycYdP4jzhy,0
127,2021-05-19,"RT @ayuta_debut: イケメンすぎて笑うしかできねえ、JYPだろ

#福田歩汰",0
126,2021-05-19,"RT @TumHunTH: จาก 40 กว่าวงK-POPที่เดบิวต์ในปี2012 ที่ยังคงอยู่ได้แก่:

- Nu'est 
- BTOB
- EXO 
- AOA
- VIXX 
- EXID",0
124,2021-05-19,"RT @bblpntn: เทรนนี่/ผู้เข้าแข่งขันเหล่านี้อาจจะมาจาก JYP หรือ P-NATION หรืออาจจะเป็นเทรนนี่อิสระ ต้องรอติดตามชม 5 มิถุนายนนี้!

#라우드 #LOUD…",0
123,2021-05-19,"@Hyo_joo222 私もTWICEの曲聞いてますー😀
スジちゃんJYPでしたね！！",0
122,2021-05-19,@_dsanha jyp aja yang didepak 🤡🤡🤡,0
119,2021-05-19,RT @JYPE_TRAINEES: ▪️U.S Project might be about JYP’s new girl group. Attention will be centered to Lily M in the coming months and years.…,0
118,2021-05-19,"RT @JYPE_TRAINEES: 051721 | According to Hana Financial Investment Analyst, Lee Ki-hoon, these are the tentative years when JYP rookie grou…",0
117,2021-05-19,SM กับเกิลกรุ๊ปเป็นอะไรที่ดูเข้ากันไม่ได้ในปีหลังๆนะ มองไปทางแม่โซชิและเอ้บเอกซ์ เรดเวลเวทจะโดนมั้ย,0
116,2021-05-19,RT @Kkapok_s: ร้องเพราะนะแต่จะร้องเทคนิคJYP เพื่ออะไรพี่ไม่เข้าใจเลิกแกล้งได้แล้ว https://t.co/ZTymvT1wGX,0
115,2021-05-19,"RT @hwngsworld: The amount of people commenting #staywithhyunjin on the jyp statement is concerning but also cute (?)
Is it a good idea to…",0
114,2021-05-19,RT @Kkapok_s: ร้องเพราะนะแต่จะร้องเทคนิคJYP เพื่ออะไรพี่ไม่เข้าใจเลิกแกล้งได้แล้ว https://t.co/ZTymvT1wGX,0
81,2021-05-19,RT @nongbeejs: คนดีๆที่ไหนมันจะ https://t.co/GRuwxBkPpF,0
