,Tweeted Date,Tweet Description,Popularity Count
69,2021-05-10,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project Teaser

https://t.co/pweByAZHBS

#TWICE #트와이스 #DAHYUN #CHAEYO…",0
68,2021-05-10,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project Teaser

https://t.co/pweByAZHBS

#TWICE #트와이스 #DAHYUN #CHAEYO…",0
85,2021-05-10,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project Teaser

https://t.co/27SS8eGnqQ

#TWICE #트와이스 #DAHYUN #CHAEYO…",0
90,2021-05-09,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project

https://t.co/xoPR9nz4YB

#TWICE #트와이스 #DAHYUN #CHAEYOUNG #나로…",0
87,2021-05-10,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project

https://t.co/xoPR9nz4YB

#TWICE #트와이스 #DAHYUN #CHAEYOUNG #나로…",0
103,2021-05-09,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project Teaser

https://t.co/pweByAZHBS

#TWICE #트와이스 #DAHYUN #CHAEYO…",0
113,2021-05-07,"RT @boong_sm: #엔시티_23명_절대지켜
수만깅! 자꾸 그러면 
#에스엠_무한확장_절대반대
나로 바꾸자~ 나로 바꾸자아~ https://t.co/R4JUmxLPY5",0
112,2021-05-07,"RT @JYPETWICE: DAHYUN &amp; CHAEYOUNG “나로 바꾸자 Switch to me” Melody Project Behind

https://t.co/i3T2RfpULy
 
#TWICE #트와이스 #DAHYUN #CHAEYOUNG",0
111,2021-05-07,"RT @ENHYPEN_members: 현재 엔하이픈 차트 2주째 1위를 달리고있는 “나로 바꾸자’를 커버해봤습니다!
#JAY #NI_KI #ENHYPEN #나로바꾸자 #나로바꾸자챌린지 #RAIN #JYP #비프로듀서님_보고싶어요ㅎㅎ

https://…",0
110,2021-05-07,@nyong_taetae 나로바꾸자아아아아아아앙,0
109,2021-05-07,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project Teaser

https://t.co/pweByAZHBS

#TWICE #트와이스 #DAHYUN #CHAEYO…",0
108,2021-05-08,나로바꾸자 -&gt;바뀨 -&gt;박규,0
107,2021-05-08,RT @miyaohyeah: 아 나로 바꾸자 정말 너무 좋다.,0
106,2021-05-08,“나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project https://t.co/PemYCi2WO5 via @YouTubeMusic,0
105,2021-05-08,나로 바꾸자 노래 너무 내취향인데ㅜㅋㅋㄱㅋㄱㅋ,0
104,2021-05-08,@hear_tLMK 나로바꾸자,0
102,2021-05-09,@qhEkfkawl_0325 흐음.....나로바꾸자??? 트로트 비스무리 한거면.....사장님노래밖에 생각이........,0
88,2021-05-10,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project Teaser

https://t.co/pweByAZHBS

#TWICE #트와이스 #DAHYUN #CHAEYO…",0
101,2021-05-09,@qhEkfkawl_0325 나로바꾸자???,0
100,2021-05-09,"RT @JYPETWICE: DAHYUN &amp; CHAEYOUNG “나로 바꾸자 Switch to me” Melody Project Behind

https://t.co/R89FObZ7t2

#TWICE #트와이스 #DAHYUN #CHAEYOUNG",0
99,2021-05-09,"RT @JYPETWICE: DAHYUN &amp; CHAEYOUNG “나로 바꾸자 Switch to me” Melody Project Behind

https://t.co/i3T2RfpULy
 
#TWICE #트와이스 #DAHYUN #CHAEYOUNG",0
98,2021-05-09,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project

https://t.co/F01IRh0FQz

#TWICE #트와이스 #DAHYUN #CHAEYOUNG #나로…",0
97,2021-05-09,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project

https://t.co/xoPR9nz4YB

#TWICE #트와이스 #DAHYUN #CHAEYOUNG #나로…",0
96,2021-05-09,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project Teaser

https://t.co/27SS8eGnqQ

#TWICE #트와이스 #DAHYUN #CHAEYO…",0
95,2021-05-09,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project Teaser

https://t.co/pweByAZHBS

#TWICE #트와이스 #DAHYUN #CHAEYO…",0
92,2021-05-09,@BooSiRi_nadam 나로 바꾸자,0
91,2021-05-09,"RT @JYPETWICE: DAHYUN &amp; CHAEYOUNG “나로 바꾸자 Switch to me” Melody Project Behind

https://t.co/i3T2RfpULy
 
#TWICE #트와이스 #DAHYUN #CHAEYOUNG",0
89,2021-05-09,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project Teaser

https://t.co/pweByAZHBS

#TWICE #트와이스 #DAHYUN #CHAEYO…",0
64,2021-05-11,"RT @ENHYPEN_members: 현재 엔하이픈 차트 2주째 1위를 달리고있는 “나로 바꾸자’를 커버해봤습니다!
#JAY #NI_KI #ENHYPEN #나로바꾸자 #나로바꾸자챌린지 #RAIN #JYP #비프로듀서님_보고싶어요ㅎㅎ

https://…",0
57,2021-05-11,"RT @ENHYPEN_members: 현재 엔하이픈 차트 2주째 1위를 달리고있는 “나로 바꾸자’를 커버해봤습니다!
#JAY #NI_KI #ENHYPEN #나로바꾸자 #나로바꾸자챌린지 #RAIN #JYP #비프로듀서님_보고싶어요ㅎㅎ

https://…",0
62,2021-05-11,"'미운' 비 #안무비 시세 올라, 박진영과 부른 '나로 바꾸자' 3천만원"" [결정적장면] | 카카오톡 #뉴스 https://t.co/SUK5ad7vQn",0
15,2021-05-13,"RT @kkayayayaa: 제발 나로 바꾸자

#twice #twicefanart #twicedahyun #dahyun #kimdahyun #dahyunfanart #dubu #다현 #김다현 #틍와이스 #kpop #kpopfanart https:/…",0
29,2021-05-13,"RT @ENHYPEN_members: 현재 엔하이픈 차트 2주째 1위를 달리고있는 “나로 바꾸자’를 커버해봤습니다!
#JAY #NI_KI #ENHYPEN #나로바꾸자 #나로바꾸자챌린지 #RAIN #JYP #비프로듀서님_보고싶어요ㅎㅎ

https://…",0
26,2021-05-13,"RT @JYPETWICE: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project Teaser

https://t.co/pweByAZHBS

#TWICE #트와이스 #DAHYUN #CHAEYO…",0
24,2021-05-13,RT @__Moo_12: 나로 바꾸자 https://t.co/jYouBTMj89,0
23,2021-05-13,RT @__Moo_12: 나로 바꾸자 https://t.co/jYouBTMj89,0
22,2021-05-13,RT @__Moo_12: 나로 바꾸자 https://t.co/jYouBTMj89,0
21,2021-05-13,RT @__Moo_12: 나로 바꾸자 https://t.co/jYouBTMj89,0
20,2021-05-13,RT @__Moo_12: 나로 바꾸자 https://t.co/jYouBTMj89,0
19,2021-05-13,RT @__Moo_12: 나로 바꾸자 https://t.co/jYouBTMj89,0
17,2021-05-13,RT @__Moo_12: 나로 바꾸자 https://t.co/jYouBTMj89,0
16,2021-05-13,"RT @ENHYPEN_members: 현재 엔하이픈 차트 2주째 1위를 달리고있는 “나로 바꾸자’를 커버해봤습니다!
#JAY #NI_KI #ENHYPEN #나로바꾸자 #나로바꾸자챌린지 #RAIN #JYP #비프로듀서님_보고싶어요ㅎㅎ

https://…",0
14,2021-05-14,RT @__Moo_12: 나로 바꾸자 https://t.co/jYouBTMj89,0
31,2021-05-13,"RT @jypcharts: .@followjyp on MelOn Daily Chart (210512)

69. When We Disco (Duet with SUNMI) — 112,017 ULs [+1]
376. Switch to me 나로 바꾸자 (…",0
13,2021-05-14,"RT @ENHYPEN_members: 현재 엔하이픈 차트 2주째 1위를 달리고있는 “나로 바꾸자’를 커버해봤습니다!
#JAY #NI_KI #ENHYPEN #나로바꾸자 #나로바꾸자챌린지 #RAIN #JYP #비프로듀서님_보고싶어요ㅎㅎ

https://…",0
12,2021-05-14,@cutegirlyoudo 나로 바꾸자 아닌강???,0
10,2021-05-14,"RT @jypcharts: .@followjyp on MelOn Daily Chart (210513)

70. When We Disco (Duet with SUNMI) — 112,388 ULs [-1]
375. Switch to me 나로 바꾸자 (…",0
9,2021-05-14,@fsz7A9AdUvFlJBe 시바 젤 ㄹㅈㄷ인게 나로 바꾸자 뮤비 나오는데 오우 시발♥️ 이건 뮤비를 봐야지 알 수 있는,0
8,2021-05-14,"나로바꾸자 추는 민석이도 데뷔해야만,,,, https://t.co/TTxPFG5yNa",0
7,2021-05-14,"RT @milk_dimple: 나로바꾸자 추는 김민석 CUT 
‼️귀여움 치사량 주의‼️ https://t.co/RaOiEIYhhK",0
6,2021-05-14,"RT @milk_dimple: 나로바꾸자 추는 김민석 CUT 
‼️귀여움 치사량 주의‼️ https://t.co/RaOiEIYhhK",0
5,2021-05-14,"RT @milk_dimple: 나로바꾸자 추는 김민석 CUT 
‼️귀여움 치사량 주의‼️ https://t.co/RaOiEIYhhK",0
4,2021-05-14,"RT @milk_dimple: 나로바꾸자 추는 김민석 CUT 
‼️귀여움 치사량 주의‼️ https://t.co/RaOiEIYhhK",0
3,2021-05-14,"RT @milk_dimple: 나로바꾸자 추는 김민석 CUT 
‼️귀여움 치사량 주의‼️ https://t.co/RaOiEIYhhK",0
30,2021-05-13,"RT @jypcharts: .@followjyp on MelOn Daily Chart (210512)

69. When We Disco (Duet with SUNMI) — 112,017 ULs [+1]
376. Switch to me 나로 바꾸자 (…",0
33,2021-05-13,ㅋㅋㅋㅋㅋㅋ웨이비전에서 나로 바꾸자 흥얼거리는것도 넘 귀엽고 웃겼어 ㅋㅋㅋㅋㅋ,0
60,2021-05-11,RT @lilly_fore: 김밀크 진짜 킹받는 점. 얘는 활 꺼내는 시늉까지 함 매순간 진심임.... 나로 바꾸자때부터 알아봤지만 손목쓰는 것도 장난아님... HE IS FOX https://t.co/K7agXkpqDD,0
49,2021-05-12,RT @only4woo: “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project https://t.co/w0ReTOUCZX,0
59,2021-05-11,RT @lilly_fore: 김밀크 진짜 킹받는 점. 얘는 활 꺼내는 시늉까지 함 매순간 진심임.... 나로 바꾸자때부터 알아봤지만 손목쓰는 것도 장난아님... HE IS FOX https://t.co/K7agXkpqDD,0
58,2021-05-11,RT @lilly_fore: 김밀크 진짜 킹받는 점. 얘는 활 꺼내는 시늉까지 함 매순간 진심임.... 나로 바꾸자때부터 알아봤지만 손목쓰는 것도 장난아님... HE IS FOX https://t.co/K7agXkpqDD,0
1,2021-05-14,"RT @ENHYPEN_members: 현재 엔하이픈 차트 2주째 1위를 달리고있는 “나로 바꾸자’를 커버해봤습니다!
#JAY #NI_KI #ENHYPEN #나로바꾸자 #나로바꾸자챌린지 #RAIN #JYP #비프로듀서님_보고싶어요ㅎㅎ

https://…",0
56,2021-05-11,“나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project https://t.co/Vt2ubfn9vH,0
55,2021-05-11,"#RAINXJYP #비 #RAIN
RAIN(비) - ""나로 바꾸자 Switch to me (duet with JYP)"" MV
https://t.co/zw09NFrWSc",0
