,Tweeted Date,Tweet Description,Popularity Count
83,2021-05-10 18:12:40,RT @baby940116: 무대로 걸어나오는 박진영 잘생김 https://t.co/ewwTOxkjQ4,0
82,2021-05-10 18:15:40,"RT @ahgaclownbeom: @fatemeh7for7 @GOT7Official *dies dramatically* savy?

#Jinyoung #진영 #박진영 #GOT7 #갓세븐 @GOT7Official",0
81,2021-05-10 18:15:49,"RT @ahgaclownbeom: @fatemeh7for7 @GOT7Official WHAT THE-

#Jinyoung #진영 #박진영 #GOT7 #갓세븐 @GOT7Official",0
111,2021-05-10 17:34:58,"RT @JuneJune770: แพ้พี่เสือลุคนี้จัง​ ไม่แผ่วเลย
#Jinyoung #GOT7 #IGOT7
@GOT7Official #จินยอง #박진영 https://t.co/EPtvHZyvJQ",0
116,2021-05-10 17:23:05,RT @leejinki_TMI: 148. 진기는 박진영 모창을 새롭게 개발했다고 한다. https://t.co/iQ5yEvCk0K,0
113,2021-05-10 17:29:19,"RT @OT7Ahga: Don't know about you but we miss Jinyoung A LOT 😩

#Jinyoung #진영 #박진영 @GOT7Official #GOT7 #갓세븐 🌿 https://t.co/t05YLd8qFr",0
141,2021-05-10 16:10:57,RT @reasonforgot7: 박진영💚홈런볼 https://t.co/5q2jOdbWKe,0
134,2021-05-10 16:23:03,RT @jy_spinoff: 190928 진영이 혼자 여기 저기 인사하고 다니다가 소환당하기ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 후배덜한테 인사도 다 해주고ㅠㅠ 선배님😭😭😭 #진영 #Jinyoung #박진영 #GOT7 #갓세븐 https://t.co/TYPO3CxGDq,0
135,2021-05-10 16:21:47,RT @reasonforgot7: 박진영💚홈런볼 https://t.co/5q2jOdbWKe,0
136,2021-05-10 16:14:25,"RT @OT7Ahga: Don't know about you but we miss Jinyoung A LOT 😩

#Jinyoung #진영 #박진영 @GOT7Official #GOT7 #갓세븐 🌿 https://t.co/t05YLd8qFr",0
137,2021-05-10 16:13:48,RT @reasonforgot7: 박진영💚홈런볼 https://t.co/5q2jOdbWKe,0
139,2021-05-10 16:12:26,"RT @screensevens: #JINYOUNG; bc it's been a long time since the last jy lockscreen ✨
 
(ps. admins are extra busy today 😭)

⚠️ please do cr…",0
140,2021-05-10 16:12:18,RT @reasonforgot7: 박진영💚홈런볼 https://t.co/5q2jOdbWKe,0
142,2021-05-10 16:10:48,RT @reasonforgot7: 박진영💚홈런볼 https://t.co/5q2jOdbWKe,0
114,2021-05-10 17:25:17,"RT @JuneJune770: แพ้พี่เสือลุคนี้จัง​ ไม่แผ่วเลย
#Jinyoung #GOT7 #IGOT7
@GOT7Official #จินยอง #박진영 https://t.co/EPtvHZyvJQ",0
143,2021-05-10 16:10:00,RT @reasonforgot7: 박진영💚홈런볼 https://t.co/5q2jOdbWKe,0
144,2021-05-10 16:04:52,@sinnanunlife Es사장이라ㅇㅇ 박진영가튼거야,0
145,2021-05-10 16:04:48,RT @reasonforgot7: 박진영💚홈런볼 https://t.co/5q2jOdbWKe,0
146,2021-05-10 16:04:36,@hioh_hioh ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ저도 첨에 하니뿐 전적 때문에 줄임말인가 했었는데 진짜였을줄ㅋㅋㅋㅋㅋㅋㅋ그래서 부제가 in the morning이었나봐요... 박진영가만안도..,0
147,2021-05-10 16:04:09,RT @reasonforgot7: 박진영💚홈런볼 https://t.co/5q2jOdbWKe,0
148,2021-05-10 16:03:08,"RT @screensevens: #JINYOUNG; bc it's been a long time since the last jy lockscreen ✨
 
(ps. admins are extra busy today 😭)

⚠️ please do cr…",0
133,2021-05-10 16:23:10,RT @reasonforgot7: 박진영💚홈런볼 https://t.co/5q2jOdbWKe,0
132,2021-05-10 16:24:51,RT @reasonforgot7: 박진영💚홈런볼 https://t.co/5q2jOdbWKe,0
131,2021-05-10 16:30:16,RT @reasonforgot7: 박진영💚홈런볼 https://t.co/5q2jOdbWKe,0
130,2021-05-10 16:36:51,박진영 죽이는 상상에상상에상상을더해서,0
129,2021-05-10 16:37:09,"RT @icecreamtip: คิดถึงจินยองจุง 😘

    🍑J I N Y O U N G🍑

#Jinyoung #진영 #박진영 #GOT7 #갓세븐 @GOT7Official https://t.co/rrFy74GO9i",0
126,2021-05-10 16:48:51,"RT @screensevens: #JINYOUNG; bc it's been a long time since the last jy lockscreen ✨
 
(ps. admins are extra busy today 😭)

⚠️ please do cr…",0
125,2021-05-10 16:49:03,"GOT7's Park Jinyoung 💚
#ParkJinyoung #Jinyoung #GOT7
#박진영 #진영 #갓세븐",0
124,2021-05-10 16:52:13,RT @reasonforgot7: 박진영💚홈런볼 https://t.co/5q2jOdbWKe,0
