,Tweeted Date,Tweet Description,Popularity Count
6,2021-05-14 22:51:56,"RT @treasuremembers: 우리 요시형 탄죠비 축하해용~ 항상 동생들 챙겨주셔서 감사하고 저는 형들 진심으로 사랑합니다 ❤️💕💕💕💕 앞으로도 파이팅~!

#소정환 #SOJUNGHWAN #해피요시데이 https://t.co/kpcUDvJf0e",0
107,2021-05-08 08:10:07,"RT @KimTaeHeeTHfan: อยู่ด้วยกันคงจะยิ้มและหัวเราะได้ทั้งวัน
ขี้เล่นกันจริงๆ น่ารักมาก☺️😍😘

#BODYFRIEND #바디프랜드
#KimTaeHee #Rain #김태희 #비 #คิม…",0
106,2021-05-08 08:11:31,"@Ear_rain 음… 일단 저는 (신상때문에 구체적으로는 말하지 못하나) 관련 전공자이고, 때문에 이러한 'ㅇㅇ학적' 표기 자체를 비전공자가 남용하는 것에 굉장히 큰 불쾌감을 느낍니다. 더불어 제가 이야기… https://t.co/rw0SsYKxbJ",0
105,2021-05-08 08:15:12,"이효정: 지나가는 비

[Lee Hyo Jung: After Rain] https://t.co/iy25MFe3K1",0
104,2021-05-08 08:20:31,"@Ear_rain 객관적 지표가 될 수 없어요. 모쪼록 개인적인 주장이시라기에 저도 제 신상이 특정되지 않는 한도 내에서 적절히 비전공자가 이해할 수 있는 수준으로 학술적 설명을 드렸고, 주장에 대해 무언가… https://t.co/LwMCo9XpA8",0
103,2021-05-08 08:30:58,"RT @KimTaeHeeTHfan: ชอบแกล้งกันตลอดเลย น่ารักมากๆ
ต้องมีบ้างแหละที่รวมตัวกันแกล้งลูกๆ😆☺️

#BODYFRIEND #바디프랜드
#KimTaeHee #Rain #김태희 #비 #คิมแ…",0
21,2021-05-09 03:22:09,RT @BTS_twt: 랩몬스터입니다. 여전히 타이틀 작업중에 매진하다 잠시 머리를 식힙니다 내리는 잔잔한 비랑 어울리는 아름다운 노래가 나와서 행복하네요. Tete - Floral Rain http://t.co/sqUjyOkSMM,0
101,2021-05-08 09:15:23,"비오는날 듣기좋은 노래 - 김예림 '레인(Rain)'
https://t.co/pnCfxwmZsJ",0
100,2021-05-08 09:42:58,"RT @cherrypick_in: 비(not rain)장인 특:
펜탓함 https://t.co/tlaQgG9B72",0
7,2021-05-14 22:39:27,"RT @chaeunwoodaily: an update from @offclASTRO..

로하~~내일 비온다고하네요~~??꼭 ☂️ 챙겨요😊 히히흫
#우산

trans:
ROHA, it's going to rain tomorrow~ Please bri…",0
