,Tweeted Date,Tweet Description,Popularity Count
89,2021-05-20,"RT @koreansales_twt: 2021 Highest 1st Week Debut Album by Rookie Groups

#MIRAE KILLA — 26,626
#PURPLEKISS INTO VIOLET — 12,405
#BLITZERS C…",0
88,2021-05-20,"RT @CPR_schedule: 210520 싸이퍼 스케줄 

▶️21:00 - 네이버 나우 &lt;로얄코믹스&gt; 라이브 = 현빈, 원

#ciipher #싸이퍼 @RAIN_Ciipher",0
87,2021-05-20,"RT @RAIN_Ciipher: [#태그]

고장

#Ciipher #싸이퍼 #ไซเฟอร์ https://t.co/SsPA9QbySH",0
86,2021-05-20,"RT @RAIN_Ciipher: [#CPR] 싸이퍼(Ciipher) - '안꿀려' M/V
⠀
🤘 https://t.co/X5aCNsBRjm
⠀
💿 2021.03.16 PM 6 Release
⠀
#Ciipher #싸이퍼
#안꿀려 #Baby_나도_안꿀려…",0
85,2021-05-20,RT @zunhwwww: ขออนุญาตเชิญชวนทุกคนมาฟัง #안꿀려 ของน้องๆ #Ciipher กันค่ะ เพลงเดบิวต์น่ารักสดใส พึ่งเดเมื่อวันที่15กุมภาค่ะ สมาชิกในวงมี7คน มี…,0
148,2021-05-20,"RT @kntv_info: ／
#FANVATAR＜日本語字幕版＞YouTube公開記念🎁
サイン入りポラをプレゼント❣
＼

どなたでも応募可能✨
応募方法は以下リンクからご確認ください💪💞
👉https://t.co/5IyBHYgT8G

当選者は発送をもってかえさせて…",0
84,2021-05-20,RT @zunhwwww: ขออนุญาตเชิญชวนทุกคนมาฟัง #안꿀려 ของน้องๆ #Ciipher กันค่ะ เพลงเดบิวต์น่ารักสดใส พึ่งเดเมื่อวันที่15กุมภาค่ะ สมาชิกในวงมี7คน มี…,0
83,2021-05-20,"RT @seokwoning: 210519 Give Me Love Tan Part 

#CIIPHER #싸이퍼 #최석원 #탄 #CHOISEOKWON #TAN https://t.co/NYbiAjJFY1",0
82,2021-05-20,"RT @seokwoning: Seokwon keep stared at camera 😍😍😍

#CIIPHER #싸이퍼 #최석원 #탄 #CHOISEOKWON #TAN https://t.co/TKVYxNxqnE",0
110,2021-05-20,"RT @RAIN_Ciipher: [#CPR] #싸이퍼
#VLIVE 가 시작되었습니다💌

핫핫
☀️ https://t.co/uaE4aFisHx

#Ciipher",0
112,2021-05-20,"RT @RAIN_Ciipher: [#CPR] 싸이퍼(Ciipher) HYUNBIN's LOG | 현빈이네 빵 공장🥐

🐧 https://t.co/wTuO4lM4dz

#현빈 #HYUNBIN #Ciipher #싸이퍼 https://t.co/0yePoF…",0
141,2021-05-20,"RT @allforciipher: [Schedule Reminder] - May 20

@RAIN_Ciipher’s #HYUNBIN and #WON will be on Naver NOW’s Royal Comics later at 21:00KST.…",0
